Registry,Assignment,Organization Name,Organization Address
CID,EA2701,ACCE Technology Corp.,"6F.-2, No. 38, Beida Rd., Hsinchu City  TW 300024 "
CID,4A688D,"Shenzhen TCL New Technology Co., Ltd","B area,10 Floor, TCL Multimedia Building, TCL International E city, #1001 Zhongshan Park Road, Nanshan District Shenzhen Guangdong CN 518052 "
CID,3A0E75,KEVCOM LLC,12 Lark Street Greenwich NY US 12834 
CID,4A5AA9,GoCodeIT Inc,8171 Yonge StreetSuite 255 Thornhill Ontario CA L3T2C6 
CID,AA146B,IronWiFi,5245 Brosche Rd Orlando FL US 32807 
CID,BA6791,Kandou Bus SA,EPFL Innovation Park Lausanne Vaud CH 1015 
CID,DA1E56,OSNexus,"11711 SE 8th Street, Suite 305 Bellevue WA US 98005 "
CID,AAF019,TransferJet Consortium Incorporated Association,1-7-1 Konan Minato-ku Tokyo JP 108-0075 
CID,DA7D2E,Delta Computers LLC.,"Office 22/10, room part 22, room IV, floor 3, 41A, 3-rd Parkovaya str. Moscow  RU 105425 "
CID,0A8E62,Delta Solutions LLC,"Kolhoznaya str., 8A, Room 20, 2nd Floor Lubertsy Lubertsy City District, Moscow Region RU 140002 "
CID,CA045A,Ossia Inc,2683 151st Place NE Redmond WA US 98052 
CID,3A5A27,"Shenzhen Longsys Electronics Co.,Ltd.","8F, Building 1, Financial Base, No.8 Kefa Road, High-Tech Park, Shenzhen, China Shenzhen Guangdong CN 518000 "
CID,6A9DA4,Global Reach Technology,Craven House London  GB WC1V 7DN 
CID,3A78CA,SoundTalks NV,Ambachtenlaan 1 Heverlee  BE 3001 
CID,6A5C35, Secrétariat général de la défense et de la sécurité nationale,51 boulevard de la Tour-Maubourg PARIS  FR 75700 
CID,3AF521,Single Digits,"4 Bedford Farms Drive, Suite 210 Bedford NH US 03110 "
CID,4AC03F,"WUHAN HIKSTORAGE TECHNOLOGY CO.,LTD","Rm.01, 21/F, F4 Building, 5th Phase-NO.1 Software Park, Guanshan 1 Rd, East Lake  Development Zone, Wuhan, China(430040) Wuhan Hubei CN 430040 "
CID,6A4065,Open Connectivity Foundation,3855 SW 153rd Dr Beaverton OR US 97003 
CID,DAA119,"Google, Inc.",1600 Amphitheatre Parkway Mountain View CA US 94043 
CID,AA38C7,Kaloom inc,"355 Peel street, suite 403 Montreal Quebec CA H3C 2G9 "
CID,CA30BF,IEEE 802.1 Chair," c/o RAC Administrator , IEEE Piscataway NJ US 08554 "
CID,FA1619,trendytech,"No.303 Hanzhongmen Street, 6th Floor Block  Nanjing  CN 210036 "
CID,FA610E,"Laboratory for Computational Sensing and Robotics, Johns Hopkins University",3400 North Charles Street Baltimore MD US 21218 
CID,FA63E1,Samsung Electronics (UK) Ltd,"Communications House, South Street Staines-Upon-Thames Middlesex GB TW18 4QE "
CID,8A34BC,Fiberworks AS,Ryensvingen 15 Oslo  NO 0680 
CID,DAFF6B,Team Precision Public Company Limited,"198 Moo 13 Suwansorn Rd., Dong-Khee-Lek, Prachinburi Muang TH 25000 "
CID,7A4BA4,Innostor Technology Corporation,"2F., No. 8, Ln32, Xianzheng 5th St., Jhubei City, Hsinchu Country 30268, Taiwan Jhubei Hsinchu TW 30268 "
CID,9A564B,Cubix Corporation,2800 Lockheed Way Carson City Nevada US 89706 
CID,EA34B4,ThinkRF Inc.,"390 March Rd., Suite 110 Ottawa Ontario CA K2K 0G7 "
CID,2A9FEB,AVnu Alliance,3855 SW 153rd Drive Beaverton  US 97003 
CID,5A73CF,Gogo Business Aviation,"105 Edgeview Dr., Suite 300 Broomfield CO US 80021 "
CID,0AE91B,PADL Software Pty Ltd,PO Box 59 Central Park VIC AU 3145 
CID,7A8DD1,TePS'EG,"31-14, Hangang-daero 15-gil, Yongsan-gu Seoul  KR 04379 "
CID,8A0775,HORYS TECHNOLOGIES LLC,8 the Green suite R Dover  US 19901 
CID,2ADBD7,Vesper Technologies,"Unit 5 Rugby Park, Bletchley Road Stockport Cheshire GB SK4 3EJ "
CID,CAC276,Saab Seaeye Ltd,20 Brunel Way Fareham Hampshire GB PO15 5SD 
CID,DAE6D7,"NVM Express, Inc. ",3855 SW 153rd Drive Beaverton OR US 97003 
CID,4AED1D,Astera Labs Inc,"2901 Tasman Dr, #204 Santa Clara CA US 95054 "
CID,7A3F8C,Seagate Technology Thailand Ltd.,"1627 Moo 7, Teparuk Road, T. Teparuk, A.Muang Samutprakarn  TH 10270 "
CID,DA9D49,Calix Inc.,2777 Orchard Pkwy San Jose CA US 95131 
CID,4A6704,Reliable Robotics Corporation,950 N Rengstorff AVE STE E Mountain View CA US 94043 
CID,4A1540,sas de la Halle aux Fours,"Avenue de la Verrerie, VIANNE FRANCE MÉTROPOLITAINE FR 47230 "
CID,8AD85E,"GigaIO Networks, Inc.","5924 Balfour Ct., Suite 101 Carlsbad CA US 92008 "
CID,AADC47,"Cachengo, Inc.",9575 Hwy 22 Huntingdon TN US 38344 
CID,0A361C,Smardii,"1221 Brickell Avenue, Suite 900 Miami FL US 33131 "
CID,EA2ADB,Labs Network Industrie 4. 0 e.V.,Ernst-Reuter-Platz 7 Berlin  DE 10587 
CID,1ABBFB,UHD Alliance,3855 SW 153rd Drive Beaverton OR US 97003 
CID,EA115D,AUTOVISION TECHNOLOGY INC.,"NO. 2-3, INDUSTRY EAST ROAD 2, SCIENCE PARK, HSINCHU  TW 30075 "
CID,FAD988,Momentum Data Systems,5432 Bolsa Ave Unit B Huntington Beach CA US 92649 
CID,BA4DEA,Environexus,50 Ricketts Road Mount Waverley VIC AU 3149 
CID,EAB89B,"Thread Group, Inc.","2400 Camino Ramon, Ste 375 San Ramon CA US 94583 "
CID,7A84F0,"McDowell Signal Processing, LLC (dba McDSP)",2083 Old Middlefield Way #204 Mountain View CA US 94043 
CID,BAA2D0,Wireless Broadband Alliance Ltd,3 Tai Seng Dr #04-01 Singapore  SG 535216 
CID,BAF21C,ISO/TC22/SC31,Behrenstr. 35 Berlin Berlin DE 10117 
CID,DA0D38,"Farpointe Data, Inc.",1376 Borregas Ave  Sunnyvale CA US 94089 
CID,DAC87D,SE Development AB,Box 2096 Karlstad  SE 650 02 
CID,0AE471,Caterpillar Inc.,P.O. Box 610 Mossville IL US 61552-0610 
CID,5ACBD3,Simaudio Ltd,1345 rue Newton Boucherville Quebec CA J4B 5H2 
CID,FA2EE9,"OCA Alliance, Inc.",23117 39th Ave SE Bothell WA US 98021 
CID,3AA3F8,IEEE 802.1 Chair," c/o RAC Administrator , IEEE Piscataway NJ US 08554 "
CID,FA94F1,IEEE 802.1 Chair," c/o RAC Administrator , IEEE Piscataway NJ US 08554 "
CID,3A0292,Video Electronics Standards Association,"1754 Technology Dr., Suite 238 San Jose CA US 95110 "
CID,FAE51A,RSAE Labs Inc,400 E 16th St Panama City FL US 32405 
CID,DA28EC,HG Genuine,"HUST Science & Technology Park, East Lake High-Tech Development Zone Wuhan Hubei CN 430223 "
CID,4A191B,ZigBee Alliance,"508 Second Street, Suite 206 Davis CA US 95626 "
CID,8A00B0,"Eoptolink Technology Inc. Ltd,",No.127 West Wulian Street Chengdu China/Sichuan CN 610213 
CID,3ABA37,Cirrent,1810 Barroilhet Burlingame CA US 94010 
CID,9A1B22,"InfoCore Co.,Ltd.","12th Floor,   No.1038 International Entrepreneurship Center Hangzhou Zhejiang CN 311202 "
CID,AA0F85,Yamaichi Electronics,475 Holger Way San Jose CA US 95134 
CID,0A8736, IEEE 1901 Working Group,"Progilon, WTC Business Center Grenoble Rhone Alpes FR F-38000 "
CID,9AD263,"FirmTek, LLC",29300 Kohoutek Way Union City California US 94587 
CID,2AFD6A,Charter Communications,6399 S. Fiddler's Green Circle Greenwood Village CO US 80111 
CID,7AF955,"Relay, Inc.",4200 Six Forks Rd Suite 1800 Raleigh NC US 27609 
CID,0A35F2,Integrated Technical Vision Ltd,Mykoly Hrinchenka str. 2/1 Kyiv Kyiv UA 03038 
CID,0AAB8C,Midwest Microwave Solutions Inc.,2000 Progress Drive Hiawatha IA US 52233 
CID,CAFAE6,"Tianjin Ronghui microelectronics Technology Co., Ltd.","601-2, Building 1, Science and Innovation Service Center, Intersection of Xuefu Middle Road and Chuangyuan Road, Jingwu Town, Xiqing District, Tianjin (Tiankai Xiqing Park) Tianjin Tianjin CN 300384 "
CID,EA8F96,"Proficium, LLC",1624 Pacific St Union City CA US 94587 
CID,3A1EC0,GENESIS,1325 Capital Circle Lawrenceville GA US 30043 
CID,8A852E,Kampr Systems,2047 Kings Lane San Mateo CA US 94402 
CID,FA00E7,Quantum Machines ltd,Hamasger 35 Tel Aviv  IL 6721407 
CID,6A71E6,FuelCloud,124 SW Dennis Ave. Hillsboro OR US 97123 
CID,FA0BBC,CEN,Rue de la Science 23 Brussels  BE 1040 
CID,8AD20F,Pro Optix AB,Vikdalsvägen 50 Nacka Strand  SE 13152 
CID,CA3EA6,"Syng, Inc.",120 Mildred Ave. Venice CA US 90291 
CID,7A384E,PROFIBUS Nutzerorganisation e.V.,Haid-und-Neu-Straße 7 Karlsruhe Baden-Württemberg DE 76131 
CID,3A765D,"NewCoSemi(Beijing) Technology Co., Ltd","Room 802, Floor 8, Building 8, Four District, East Tower, Wangjing, Chaoyang Beijing  CN 100102 "
CID,EA1ED0,ZIGPOS GmbH,Räcknitzhöhe 35a Dresden Saxony DE 01217 
CID,0AD9C4,"Craft Designs, Inc",700 Boulevard South Suite 501 HUNTSVILLE AL US 35802 
CID,2A0BB8,"xFusion Digital Technologies Co., Limited","9th Floor, Building 1, Zensun Boya Square, Longzihu Wisdom Island, Zhengdong New District Zhengzhou Henan CN 450000 "
CID,7A4BF3,DILON TECHNOLOGIES,"12050 JEFFERSON AVENUE, Suite 340 NEWPORT NEWS VA US 23606 "
CID,7A15EC,"Yatomi Techology(ZheJiang) Co.,Ltd","No8 FuYuan Road, YaoZhuang Town, JiaShan County YaoZhuang ZheJiang CN 314117 "
CID,6A8EAF,Waoo,True Møllevej 9 Tilst Aarhus Municipallity DK 8381 
CID,4AE03F,Chengdu Superxon communication Technology Co. Ltd.,"No.666, Shaojia Street, Shuangliu District Chengdu Sichuan CN 610225 "
CID,5A18FF,FiRa Consortium,3855 SW 153RD Drive Beaverton OR US 97003 
CID,5A03BA,Wireless Broadband Alliance Ltd,3 Tai Seng Dr #04-01 Singapore  SG 535216 
CID,EABC04,G3-PLC Alliance,34 place des Corolles Paris PARIS LA DEFENSE CEDEX  FR 92079 
CID,3A3541,Raspberry Pi (Trading) Ltd,"Maurice Wilkes Building, St Johns Innovation Park Cambridge Cambridgeshire GB CB4 0DS "
CID,BAC485,Fraunhofer IIS,Am Wolfsmantel 33 Erlangen Bayern DE 91058 
CID,FABA85,"APAT Optoelectronics Components Co., Ltd.","2-1503, COFCO Biz Park,Liuxian 2nd Rd., Baoan District, Shenzhen Shenzhen  CN 518101 "
CID,8ACBA4,Resideo,2 Corporate Center Dr. Melville NY US 11747 
CID,6AB6F2,Eli Technology Inc,"380 Bedford Hwy, Suite 307 Bedford NS CA  B3M 2L4 "
CID,FAEB6E,xRAN.org,291 Lambert Ave. Palo Alto CA US 94306 
CID,4A5A6F,Applied Materials,3050 Bowers Avenue Santa Clara CA US 95054 
CID,EA6076,"CloudSimple, Inc.","2755 Great America Way, Suite 101 Santa Clara CA US 95054 "
CID,6A0E20,"GeoFrenzy, Inc",39 Main Street Tiburon CA US 94920 
CID,BA55EC,IEEE 802.15,445 Hoes Lane  Piscataway NJ US 08854-4141 
CID,BA3054,George Wilson Industries Ltd,"Barlow Road, Aldermans Green Industrial Estate Coventry West Midlands GB CV2 2LD "
CID,CA125C,Microsoft Corporation,One Microsoft Way Redmond null US 98052-6399 
CID,FA1466,Allegion PLC,500 Golden Ridge Rd Ste 160 Golden CO US 80401-9553 
CID,EAE0D9,Berk-tek LLC,132 white oak rd new holland PA US 17557 
CID,1A75FB,AUTOSAR,c/o Altran GmbH & Co. KG Munich  DE 80636 
CID,CAE505,Mobilitie,2220 University Dr Newport Beach  US 92660 
CID,FA556F,SymbolicIO,379 Thornall Edison NJ US 08837 
CID,BA03C6,Schüco International KG,Karolinenstr. 1 - 15 Bielefeld  DE 33609 
CID,DAC451,Takaratomy,7-9-10 Tateishi Katsushika-ku Tokyo JP 124-8511 
CID,BAC8C4,"Transponder & Reader Engineered Systems, Inc",9651 Chalma Avenue  Baton Rouge LA US 70814 
CID,CA7DDD,"EmOne (Thailand) Co.,Ltd.",39/1 Soi.Sangkhom Songkhro 12 Lat Phrao Bangkok TH 10230 
CID,3A796E,"LX Semicon co.,Ltd.","38, Baumoe-ro, Seocho-gu Seoul  KR 06763 "
CID,6A621E,DIFI Consortium,445 Hoes Lane Piscataway NJ US 08854 
CID,BA6312,IDTECK,"4F, 61, Samjak-ro 171 beon-gil Bucheon-si, Gyeonggi-do 14453 KR 07573 "
CID,4AADCE,CODAN ARGUS AG,Oberneuhofstrasse 10 Baar Zug CH 6340 
CID,8A4F8B,Irdeto,Taurus Avenue 105 Hoofddorp Noord Holland NL 2132LS 
CID,7A35EA,SHARP Corporation,"1 Takumi-cho, Sakai-ku Sakai City Osaka JP 590-8522 "
CID,8A94AD,Nexgen A/S,Tvinggårdsvej 1 Skuderløse Haslev  DK 4690 
CID,0A2A33,DIGISTOR,89 Dillon Ave Campbell CA US 95008 
CID,3A72C2,"HUAWEI TECHNOLOGIES CO.,LTD","No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park Dongguan  CN 523808 "
CID,2AA139,"POINTGUARD, LLC",134 W Malvern Ave Salt Lake City UT US 84115 
CID,CAF25B,"Lexar Electronics(Shenzhen) Co.,Ltd.","Room EF, 5F, Building 1, Financial Base, No.8 Kefa Road, High-Tech Park, Shenzhen, China Shenzhen Guangdong CN 518000 "
CID,8AFB16,"TeraByte, Inc.",10220 Lazy Bear St Las Vegas NV US 89131 
CID,BA4159,ANAPASS INC.,61 Digital-ro 31-gil Guro-gu Seoul  KR 08375 
CID,6A1F6C,"iPass, Inc.",3800 Bridge Parkway Redwood Shores CA US 94065 
CID,3ACFC5,Quickline AG,Dr. Schneider-Strasse 16 Nidau  CH 2560 
CID,EADD88,"IEEE PES-PSRC Working Group H3, PC37.237",445 Hoes Ln. Piscataway NJ US 08854 
CID,4A07D6,IEEE 802.1 Chair," c/o RAC Administrator , IEEE Piscataway NJ US 08554 "
CID,2AEA15,Tibit Communications,"1 Willowbrook Court, Suite 150 Petaluma CA US 94954 "
CID,7AFD44,Rosenberger Hochfrequenztechnik GmbH & Co. KG,Hauptstrasse 1 Fridolfing  DE 83413 
CID,5AE660,nyantec GmbH,Europaplatz 2 Berlin  DE 10557 
CID,DA1C21,Sesam GmbH,Finsterbachstrasse 1 Merching  DE 86504 
CID,8ADA26,Eleven Inc.,"315 SW 11th Ave, 3rd Floor Portland OR US 97205 "
CID,4A7206,"CAIRE, Inc.","2200 Airport Industrial Dr., Suite 500 Ball Ground GA US 30107 "
CID,9AADCA,Credo,"1900 McCarthy Blvd, Suite 420 Milpitas CA US 95035 "
CID,3A5E03,"Cirrus Data Solutions, Inc","6800 Jericho Turnpike, suite 213W Syosset  NY US 11791 "
CID,9AB2F8,SFF Committee,14426 Black Walnut Court Saratoga CA US 95070 
CID,FAF9C0,RAID Incorporated,200 Brickstone Square Andover MA US 01810 
CID,FAE190,IN WIN DEVELOPMENT INC.,"NO.57,LANE 350, NANSHANG ROAD, GUEISHAN HSIANG, TAOYUAN HSIEN, TW 333 "
CID,4ADA10,Emotiva Audio Corp,135 SE Parkway Court Franklin TN US 37064 
CID,7AAB77,Orange,4 rue du Clos Courtel Cesson Sevigne France FR 35512 
CID,FA073E,NBASE-T Alliance,3855 SW 153rd Drive Beaverton OR US 97003 
CID,CA446C,"Cypress Computer Systems, Inc.",1778 Imlay City Rd Lapeer MI US 48446 
CID,FA4C77,OCCITALINE,Allée du Quercy COLOMIERS  FR 31770 
CID,2AA147,DISTRIBUCIONES CANTILEVER,"calle Buenavista #35, Colonia Lindavista Norte, Delegación Gustavo A. Madero Cuidad de México CDMX MX 07300 "
CID,CA222B,"Beijing Puma Gear Power Equipment Co.,Ltd","Rm. 10C06, Changyin Mansion,No. 88 Yongding Road,  Haidian District Beijing Beijing CN 100037 "
CID,FAEEB6,"Shenzhen Jiahua Zhongli Technology Co., LTD","Rm1807, Building 11, Tian'An Cloud Park, Phase 2, Bantian subdistrict, Longgang district, Shenzhen shenzhen guangdong CN 518172 "
CID,5A6BB4,Xconn Technologies,"1245 S. Winchester Blvd, Suite 208 San Jose CA US 95128 "
CID,8A7DB3,"Evolv Technology, Inc.",500 Totten Pond Road 4th Floor Waltham MA US 02451 
CID,DA19B3,LG Uplus,"80-17 Gwhak-ro, Yuseong-gu Daejeon  KR 34132 "
CID,EABEA7,"Sonos, Inc.",614 Chapala St Santa Barbara CA US 93101 
CID,0AA23B,Vitex LLC,"210 Sylvan Ave, Suite 25 Englewood Cliffs NJ US 07632 "
CID,2AAC53,Wolfspyre Labs,5007 Highland Ct #WPL-IEEE Austin TX US 78731 
CID,CA1E45,ASMedia Technology Inc.,"6F, No.115, Minquan Rd., New Taipei City  TW 23141 "
CID,8A0AF7,"Montage Technology Co,.LTD","6/F, BlockA, Technology Building,900 Yishan Road, Shanghai  CN 200233 "
CID,7A4D2F,Open Compute Project,"13785 Research Blvd, Suite 125 Austin TX US 78750 "
CID,6AE732,"UNIS-WDC Storage Co.,Ltd","1202 Block B, Truth Plaza, No.7 ZhiChun Road, HaiDian District Beijing Beijing CN 100191 "
CID,BA07DA,Infinix mobility limited,"RMS 05-15, 13A/F SOUTH TOWER WORLD FINANCE CTR HARBOUR CITY 17 CANTON RD TST KLN HONG KONG HongKong HongKong HK 999077 "
CID,AA34D4,CDVI Wireless SpA,via Piave 23 San Pietro di Feletto Treviso IT 31020 
CID,CA3782,"Storbyte, Inc.",1800 Washington Blvd Suite 412 Baltimore MD US 21230 
CID,CA2B5E,"Suzhou Motor-comm Electronic Technology Co.,Ltd","Rm201, Bldg#4, No.78 Keling Road, Hi-Tech New District, China Suzhou Jiangsu CN 215163 "
CID,FA6673,NELLS ELECTRONIC SYSTEMS (NES),"THAPASYA, KALAPARAMBATH (H), MATHILAKAM P.O THRISSUR KERALA IN 680685 "
CID,0ACD8F,Cisco Systems Norway,Phillip Pedersensvei 1 Lysaker  NO 1366 
CID,4ACA3E,ZEUS,"161-6, Gyeonggi-dong-ro OSAN Gyeonggi KR 18148 "
CID,DA4162,Xperi Corporation,5220 Las Virgenes Rd Calabasas  US 91302 
CID,4A7F74,INTEC Inc.,"1-1-25 Shin-urashima-cho, Kanagawa-ku Yokohama-shi Kanagawa-ken JP 221-0031 "
CID,8AA5C1,Ranovus USA,465 Fairchild Dr #109 Mountain View CA US 94043 
CID,CA8FA5,"Advanced TS Migrations, Co",PO BOX 478 ELLENTON FL US 34222 
CID,AA548B,Tintri,303 Ravendale Dr Mountain View CA US 94070 
CID,8AB3DA,"HomePlug Powerline Alliance, Inc.","10260 SW Greenburg Road, Suite 400 Portland OR US 97223 "
CID,DA2BDD,"AT&T, Inc.","4509 Friedrich Lane, Bldg 3 Austin  US 78744 "
CID,8AC72E,"Roku, Inc.",12980 Saratoga Ave Saratoga CA US 95070 
CID,CAC87E,Allen Organ Company,150 LOCUST ST MACUNGIE PA US 18062 
CID,EA9FB1,Philips International B.V.,High Tech Campus 5 Eindhoven Noord Brabant NL 5656 AE 
CID,6A737D,25G Ethernet Consortium,3855 SW 153rd Dr Beaverton OR US 97003 
CID,6AE64A,S&O Electronics (Malaysia) Sdn. Bhd.,Lot 202 Sungai Petani Kedah MY 08000 
CID,1A9021,Physical Security Interoperability Alliance,65 Washington St.  Suite 170 Santa Clara CA US 95050 
CID,4AE568,leapio,"beijing,haidian beijing beijing CN 100000 "
CID,5AED67,GoldiLink Technology Corp.,"Address: 6F.-2, No. 38, Beida Rd., Hsinchu City 300024 , Taiwan  Hsinchu City   TW 300024 "
